manufacturer,cpuName,cores,threads,type
AMD,Threadripper 3990X,64,128,Desktop
AMD,Threadripper Pro 3995WX,64,128,Desktop
AMD,Epyc 7702P,64,128,Desktop
AMD,Threadripper 3970X,32,64,Desktop
AMD,Threadripper Pro 3975WX,32,64,Desktop
AMD,Threadripper 3960X,24,64,Desktop
AMD,Threadripper 2990WX,32,64,Desktop
AMD,Ryzen 9 5950X,16,32,Desktop
Intel,Core i9 12900K,16,24,Desktop
Intel,Core i9 12900KF,16,24,Desktop
Intel,Core i9 12900KS,16,24,Desktop
AMD,Threadripper Pro 3955WX,16,32,Desktop
Intel,Core i9 9980XE,18,36,Desktop
AMD,Ryzen 9 3950X,16,32,Desktop
Intel,Core i9 10980XE,18,36,Desktop
Intel,Core i7 12700K,12,20,Desktop
Intel,Core i7 12700KF,12,20,Desktop
AMD,Ryzen 9 5900X,12,24,Desktop
Apple,M1 Ultra,20,20,Desktop
AMD,Ryzen 9 5900,12,24,Desktop
AMD,Threadripper 1950X,16,32,Desktop
AMD,Threadripper 2950X,16,32,Desktop
AMD,Ryzen 9 3900X,12,24,Desktop
AMD,Ryzen 9 3900XT,12,24,Desktop
Intel,Core i9 7980XE,18,36,Desktop
Intel,Core i9 12900HK,14,20,Laptop
Intel,Core i9 9960X,16,32,Desktop
Intel,Core i5 12600KF,10,16,Desktop
Intel,Core i9 10900KF,10,20,Desktop
Intel,Core i5 12600K,10,16,Desktop
Intel,Core i7 12700H,14,20,Laptop
Intel,Core i9 12900H,14,20,Laptop
Intel,Core i9 10940X,14,28,Desktop
Intel,Core i9 11900KF,8,16,Desktop
Intel,Core i7 12700,12,20,Desktop
Intel,Core i9 11900K,8,16,Desktop
Intel,Core i7 12800H,14,20,Laptop
Intel,Core i9 10850K,10,20,Desktop
Intel,Core i9 10920X,12,24,Desktop
Intel,Core i9 9940X,14,28,Desktop
Intel,Core i9 10900K,10,20,Desktop
Intel,Core i9 7960X,16,32,Desktop
Intel,Core i7 11700KF,8,16,Desktop
Intel,Core i7 11700K,8,16,Desktop
AMD,Ryzen 7 5800X3D,8,16,Desktop
AMD,Threadripper 1920X,12,24,Desktop
Intel,Core i9 9920X,12,24,Desktop
AMD,Ryzen 9 6980HS,8,16,Laptop
AMD,Ryzen 9 6980HX,8,16,Laptop
Intel,Core i5 12500H,12,16,Laptop
AMD,Ryzen 7 5800X,8,16,Desktop
AMD,Ryzen 9 6900HX,8,16,Laptop
Intel,Core i9 10900X,10,20,Desktop
AMD,Ryzen 7 5700X,8,16,Desktop
AMD,Ryzen 7 5700G,8,16,Desktop
AMD,Ryzen 7 5800,8,16,Desktop
Intel,Core i9 9900X,10,20,Desktop
Intel,Core i9 11980HK,8,16,Laptop
AMD,Ryzen 7 3800X,8,16,Desktop
Intel,Core i7 7820X,8,16,Desktop
Intel,Core i9 11900,8,16,Desktop
Intel,Core i9 10900,10,20,Desktop
Intel,Core i7 9800X,8,16,Desktop
AMD,Ryzen 7 6800H,8,16,Laptop
Intel,Core i9 11900F,8,16,Desktop
Intel,Core i5 12500,6,12,Desktop
AMD,Ryzen 7 Pro 4750G,8,16,Desktop
AMD,Ryzen 9 6900HS,8,16,Laptop
