manufacturer,cpuName,singleScore,multiScore,cores,threads,baseClock,turboClock,type
AMD,Threadripper 3990X,1262,75671,64,128,2.9,4.5,Desktop
AMD,Threadripper Pro 3995WX,1231,73220,64,128,2.7,4.2,Desktop
AMD,Epyc 7702P,993,48959,64,128,2,3.35,Desktop
AMD,Threadripper 3970X,1308,46874,32,64,3.7,4.5,Desktop
AMD,Threadripper Pro 3975WX,1244,43450,32,64,3.5,4.2,Desktop
AMD,Threadripper 3960X,1307,34932,24,64,3.8,4.5,Desktop
AMD,Threadripper 2990WX,1005,29651,32,64,3,4.2,Desktop
AMD,Ryzen 9 5950X,1684,28782,16,32,3.4,4.9,Desktop
Intel,Core i9 12900K,2007,27852,16,24,3.2,5.2,Desktop
Intel,Core i9 12900KF,1974,27852,16,24,3.2,5.2,Desktop
Intel,Core i9 12900KS,2082,27796,16,24,3.4,5.5,Desktop
AMD,Threadripper Pro 3955WX,1401,27175,16,32,3.9,4.3,Desktop
Intel,Core i9 9980XE,1114,27093,18,36,3,4.4,Desktop
AMD,Ryzen 9 3950X,1406,26375,16,32,3.5,4.7,Desktop
Intel,Core i9 10980XE,1063,25490,18,36,3,4.6,Desktop
Intel,Core i7 12700K,1950,23168,12,20,3.6,5,Desktop
Intel,Core i7 12700KF,1958,22997,12,20,3.6,5,Desktop
AMD,Ryzen 9 5900X,1670,22046,12,24,3.7,4.8,Desktop
Apple,M1 Ultra,1574,21817,20,20,2,3.2,Desktop
AMD,Ryzen 9 5900,1608,21071,12,24,3,4.7,Desktop
AMD,Threadripper 1950X,1027,19635,16,32,3.4,4,Desktop
AMD,Threadripper 2950X,1135,18797,16,32,3.5,4.4,Desktop
AMD,Ryzen 9 3900X,1312,18682,12,24,3.8,4.6,Desktop
AMD,Ryzen 9 3900XT,1354,18511,12,24,4.1,4.7,Desktop
Intel,Core i9 7980XE,1287,18389,18,36,2.6,4.2,Desktop
Intel,Core i9 12900HK,1919,18252,14,20,2.5,5,Laptop
Intel,Core i9 9960X,1085,18125,16,32,3.1,4.4,Desktop
Intel,Core i5 12600KF,1929,17979,10,16,3.7,4.9,Desktop
Intel,Core i9 10900KF,1516,17486,10,20,3.7,5.3,Desktop
Intel,Core i5 12600K,1904,17400,10,16,3.7,4.9,Desktop
Intel,Core i7 12700H,1774,16860,14,20,2.3,4.7,Laptop
Intel,Core i9 12900H,1948,16839,14,20,2.5,5,Laptop
Intel,Core i9 10940X,1250,16427,14,28,3.3,4.6,Desktop
Intel,Core i9 11900KF,1670,16367,8,16,3.5,5.3,Desktop
Intel,Core i7 12700,1875,16225,12,20,3.6,4.9,Desktop
Intel,Core i9 11900K,1671,16211,8,16,3.5,5.3,Desktop
Intel,Core i7 12800H,1837,15922,14,20,2.4,4.8,Laptop
Intel,Core i9 10850K,1325,15762,10,20,3.6,5.2,Desktop
Intel,Core i9 10920X,1307,15709,12,24,3.5,4.6,Desktop
Intel,Core i9 9940X,1248,15585,14,28,3.3,4.4,Desktop
Intel,Core i9 10900K,1433,15564,10,20,3.7,5.3,Desktop
Intel,Core i9 7960X,1117,15301,16,32,2.8,4.2,Desktop
Intel,Core i7 11700KF,1578,15223,8,16,3.6,5,Desktop
Intel,Core i7 11700K,1582,15136,8,16,3.6,5,Desktop
AMD,Ryzen 7 5800X3D,1516,15049,8,16,3.4,4.5,Desktop
AMD,Threadripper 1920X,1054,15038,12,24,3.5,4,Desktop
Intel,Core i9 9920X,1077,15018,12,24,3.5,4.4,Desktop
AMD,Ryzen 9 6980HS,1685,14950,8,16,3.3,5,Laptop
AMD,Ryzen 9 6980HX,1685,14917,8,16,3.3,5,Laptop
